Node ID,Time,U,V,Water Depth,Velocity mag.,Water surface,Inflow
1,82,-0.03811023,-0.1018551,6.103205,0.1087514,24.95466,2.71385
2,82,-0.0220074,0.02455803,6.571979,0.03297609,22.91711,0.75572
3,82,-0.03811024,-0.1018551,7.452118,0.1087514,23.92409,2.60178
4,82,-0.01617647,0.02786383,5.814714,0.03221911,22.83352,0.73568
5,82,-0.03811024,-0.1018551,8.531197,0.1087514,25.38643,2.76081
6,82,-0.01074362,0.01491162,3.26855,0.01837884,22.77448,0.41857
7,82,-0.03811023,-0.1018551,8.110456,0.1087513,30.49186,3.31603
8,82,0.001097013,0.002342668,4.036271,0.002586799,26.10448,0.06753
9,82,-0.03811024,-0.1018551,7.636081,0.1087514,28.81885,3.13409
10,82,0.0002351664,0.002642959,4.733198,0.002653401,21.74442,0.0577
11,82,-0.03811023,-0.1018551,5.801651,0.1087513,23.24079,2.52747
12,82,-0.000422581,0.002145327,4.751431,0.002186551,22.06082,0.04824
13,82,-0.03811023,-0.1018551,3.350241,0.1087513,21.44422,2.33209
14,82,-0.001576121,0.00209528,4.881835,0.002621899,25.3413,0.06644
15,82,-0.05827149,-0.09881403,4.065424,0.1147161,27.48962,3.1535
16,82,-0.001752421,0.002886061,4.854869,0.003376437,26.69349,0.09013
17,82,-0.07072023,-0.1447667,5.796482,0.1611172,24.46875,3.94234
18,82,-0.002268658,0.003863804,3.703874,0.004480601,23.00717,0.10309
19,82,0.006176412,-0.1250631,8.195643,0.1252155,30.78006,3.85414
20,82,-0.003980416,0.004052159,2.581282,0.005680115,24.8929,0.14139
21,82,-0.05461298,-0.1606653,6.975722,0.1696936,24.38964,4.13877
22,82,-0.00408598,0.003627478,2.215764,0.005463866,19.33771,0.10566
23,82,-0.04173405,-0.07391842,7.846487,0.08488618,24.76521,2.10222
24,82,-0.004653507,0.002772869,2.400901,0.005417004,19.65113,0.10645
25,82,-0.05014899,-0.1446956,6.794526,0.1531396,27.39799,4.19572
26,82,-0.004259559,0.002229097,2.878404,0.004807569,21.06769,0.10128
27,82,-0.03785084,-0.06878027,4.236524,0.0785074,27.43024,2.15348
28,82,-0.003741748,0.001662084,3.12871,0.004094289,23.72003,0.09712
29,82,-0.09159255,-0.2169113,2.701462,0.2354563,21.23289,4.99942
30,82,-0.00357571,0.001543957,3.244069,0.003894805,21.31173,0.08301
31,82,-0.06492385,-0.1103223,4.562259,0.1280083,22.34205,2.85997
32,82,-0.003003164,0.002709237,3.296527,0.004044621,23.06669,0.0933
33,82,-0.06340411,-0.0937604,5.713337,0.1131861,23.26213,2.63295
34,82,-0.00432014,0.004318619,3.136972,0.006108525,26.02742,0.15899
35,82,-0.06914035,-0.1045563,5.403293,0.1253491,28.4284,3.56347
36,82,-0.002671353,0.00723525,2.479661,0.00771265,19.80081,0.15272
37,82,-0.06459537,-0.1095209,3.525511,0.127151,20.97508,2.667
38,82,-0.06429474,0.07383525,9.456444,0.09790535,26.69244,2.61333
39,82,-0.08286774,-0.2200609,4.692911,0.2351465,21.66304,5.09399
40,82,-0.06291094,0.07883075,12.78686,0.1008567,33.03659,3.33196
41,82,-0.02669029,-0.05602723,7.765643,0.06205983,25.90881,1.6079
42,82,-0.07837686,0.06134916,15.57166,0.09953216,32.78901,3.26356
43,82,-0.05877542,-0.1046846,8.037073,0.1200558,31.15028,3.73977
44,82,-0.05165587,0.07068841,14.9468,0.08755102,34.96238,3.06099
45,82,-0.07704084,-0.1440658,6.737062,0.1633715,25.34215,4.14018
46,82,-0.02320083,0.00862152,1.422532,0.02475095,19.47763,0.48209
47,82,-0.0308625,-0.1087113,7.61012,0.1130073,24.44402,2.76235
48,82,-0.04857663,0.04920966,8.740532,0.0691468,25.5346,1.76564
49,82,-0.02641184,-0.07821906,4.401144,0.08255789,21.22806,1.75254
50,82,-0.01191347,0.02608676,6.926357,0.02867839,24.5421,0.70383
51,82,-0.05468035,-0.1189335,6.776042,0.1309012,26.5326,3.47315
52,82,-0.01522281,0.03343682,7.105758,0.03673901,24.012,0.88218
53,82,-0.06596527,-0.1562202,2.746358,0.1695765,25.7856,4.37263
54,82,-0.01362603,0.02459228,5.35614,0.02811492,28.70719,0.8071
55,82,-0.04635963,-0.08437815,5.177867,0.09627505,22.69596,2.18506
56,82,-0.01527701,0.02222034,2.866009,0.02696536,20.17835,0.54412
57,82,-0.07102067,-0.1020474,5.976402,0.1243286,23.17615,2.88146
58,82,-0.00962808,0.0234595,6.342581,0.02535839,26.41105,0.66974
59,82,-0.0666187,-0.09669685,7.275873,0.1174237,24.92752,2.92708
60,82,-0.01327567,0.02508542,5.246724,0.02838171,22.46857,0.6377
61,82,-0.06618612,-0.09868398,7.363269,0.1188239,30.26109,3.59574
62,82,0.0002201223,0.001617847,4.110368,0.001632753,24.44386,0.03991
63,82,-0.06996776,-0.101516,5.074947,0.1232923,24.35549,3.00284
64,82,-0.0002356022,0.002015365,4.296393,0.002029089,22.41434,0.04548
65,82,-0.06140244,-0.09907336,7.379492,0.1165581,24.18204,2.81861
66,82,-0.001220081,0.002225467,4.295201,0.002537972,20.67461,0.05247
67,82,-0.06534192,-0.1124404,3.211823,0.1300477,19.72164,2.56475
68,82,-0.001465412,0.001205807,4.281044,0.001897736,21.00422,0.03986
69,82,-0.0555234,-0.1627161,4.425164,0.1719284,21.27094,3.65708
