Node ID,Time,U,V,Water Depth,Velocity mag.,Water surface,Inflow
1,108,-0.03945756,-0.105456,6.093156,0.1125961,24.94461,2.80867
2,108,-0.01773471,0.01962278,6.561979,0.02644945,22.90711,0.60588
3,108,-0.03945756,-0.105456,7.442084,0.1125961,23.91405,2.69263
4,108,-0.01299417,0.02238234,5.804716,0.02588083,22.82353,0.59069
5,108,-0.03945756,-0.105456,8.521154,0.1125961,25.37639,2.85728
6,108,-0.009122,0.0126609,3.259821,0.01560478,22.76575,0.35525
7,108,-0.03945756,-0.105456,8.100429,0.1125961,30.48183,3.43213
8,108,0.001227564,0.00262146,4.026269,0.002894645,26.09447,0.07553
9,108,-0.03945756,-0.105456,7.626045,0.1125961,28.80881,3.24376
10,108,0.0002606175,0.002950032,4.723195,0.002961522,21.73442,0.06437
11,108,-0.03945756,-0.105456,5.791613,0.1125961,23.23075,2.61569
12,108,-0.0004960957,0.002379092,4.741429,0.002430265,22.05082,0.05359
13,108,-0.03945756,-0.105456,3.340205,0.1125961,21.43418,2.4134
14,108,-0.001726719,0.002349273,4.871833,0.002915587,25.3313,0.07386
15,108,-0.06055998,-0.1026947,4.055428,0.1192213,27.47962,3.27616
16,108,-0.001952821,0.003262826,4.844869,0.00380257,26.68349,0.10147
17,108,-0.07326157,-0.1499689,5.786457,0.1669069,24.45873,4.08233
18,108,-0.002489562,0.004313985,3.693873,0.004980802,22.99717,0.11454
19,108,0.007473335,-0.1298847,8.185626,0.1300995,30.77004,4.00317
20,108,-0.00422752,0.004676172,2.57128,0.006303849,24.8829,0.15686
21,108,-0.05634224,-0.1673873,6.965713,0.1766153,24.37963,4.30582
22,108,-0.004378309,0.004262449,2.205763,0.006110488,19.32771,0.1181
23,108,-0.04421075,-0.07488056,7.836473,0.08695797,24.7552,2.15266
24,108,-0.004976618,0.003505094,2.390901,0.006087069,19.64113,0.11956
25,108,-0.05220409,-0.1518521,6.784514,0.160575,27.38798,4.39782
26,108,-0.004639825,0.002982732,2.868396,0.005515856,21.05768,0.11615
27,108,-0.03875788,-0.06897458,4.226506,0.07911805,27.42022,2.16943
28,108,-0.004128496,0.002469106,3.118711,0.004810506,23.71003,0.11406
29,108,-0.09673622,-0.2290926,2.691456,0.2486791,21.22289,5.27769
30,108,-0.004309252,0.002450844,3.234087,0.004957448,21.30175,0.1056
31,108,-0.06724665,-0.1142694,4.552257,0.1325881,22.33205,2.96096
32,108,-0.003806651,0.003717648,3.28652,0.005320855,23.05668,0.12268
33,108,-0.06577481,-0.09695783,5.703337,0.1171629,23.25213,2.72429
34,108,-0.005530108,0.005944324,3.126979,0.008118933,26.01743,0.21123
35,108,-0.07157882,-0.1084611,5.39329,0.1299513,28.41839,3.69301
36,108,-0.003429174,0.009287775,2.469595,0.009900605,19.79075,0.19594
37,108,-0.06676399,-0.1131977,3.515512,0.1314198,20.96508,2.75523
38,108,-0.06293363,0.07227217,9.446443,0.09583271,26.68243,2.55705
39,108,-0.08621299,-0.2289444,4.682914,0.244639,21.65304,5.29718
40,108,-0.06058541,0.07810195,12.77686,0.09884587,33.02658,3.26454
41,108,-0.02668394,-0.05595189,7.755644,0.06198909,25.89881,1.60544
42,108,-0.07728885,0.06269917,15.56169,0.09952262,32.77904,3.26226
43,108,-0.06133246,-0.1076245,8.027073,0.1238737,31.14028,3.85746
44,108,-0.05188033,0.07466296,14.93662,0.09091824,34.95219,3.17779
45,108,-0.08039617,-0.1499396,6.727065,0.1701335,25.33215,4.30985
46,108,-0.02667005,0.009910693,1.417449,0.02845195,19.47255,0.55403
47,108,-0.03137631,-0.114151,7.600121,0.1183847,24.43402,2.89261
48,108,-0.05189585,0.05398305,8.732627,0.07488224,25.5267,1.9115
