Node ID,Time,U,V,Water Depth,Velocity mag.,Water surface,Inflow
1,229,-0.03702592,-0.09895714,6.073241,0.1056572,24.9247,2.63347
2,229,-0.01621623,0.01778794,6.541986,0.02407025,22.88712,0.5509
3,229,-0.03702592,-0.09895714,7.422148,0.1056572,23.89412,2.52458
4,229,-0.01181187,0.02034584,5.784725,0.02352601,22.80354,0.53648
5,229,-0.03702592,-0.09895714,8.501229,0.1056572,25.35646,2.67909
6,229,-0.008301666,0.01152231,3.242369,0.01420145,22.7483,0.32306
7,229,-0.03702592,-0.09895713,8.08048,0.1056571,30.46188,3.21852
8,229,0.001167735,0.002493694,4.00627,0.002753564,26.07447,0.0718
9,229,-0.03702592,-0.09895714,7.606111,0.1056572,28.78888,3.04175
10,229,0.000249115,0.002801455,4.703196,0.002812509,21.71442,0.06107
11,229,-0.03702592,-0.09895714,5.771684,0.1056572,23.21083,2.45239
12,229,-0.0004713807,0.002253514,4.721431,0.002302287,22.03082,0.05072
13,229,-0.03702592,-0.09895712,3.320265,0.1056571,21.41424,2.26257
14,229,-0.00163732,0.002222836,4.851835,0.002760764,25.3113,0.06988
15,229,-0.05636109,-0.09557446,4.035427,0.1109552,27.45962,3.04679
16,229,-0.001849347,0.003073765,4.824872,0.003587215,26.6635,0.09565
17,229,-0.06882691,-0.140891,5.7665,0.1568037,24.43877,3.83209
18,229,-0.002364785,0.004070809,3.673877,0.004707833,22.97717,0.10817
19,229,0.00537239,-0.1213,8.165657,0.1214189,30.75007,3.73364
20,229,-0.004063936,0.004389477,2.551282,0.005981897,24.8629,0.14873
21,229,-0.05338754,-0.1554958,6.945728,0.1644055,24.35965,4.00486
22,229,-0.004208761,0.003956659,2.185766,0.005776575,19.30771,0.11153
23,229,-0.03991942,-0.07283284,7.816495,0.0830553,24.73522,2.05439
24,229,-0.004779243,0.003248004,2.370903,0.005778468,19.62114,0.11338
25,229,-0.04857272,-0.1394062,6.764535,0.1476258,27.368,4.04022
26,229,-0.004439278,0.002731896,2.848388,0.005212527,21.03767,0.10966
27,229,-0.03703744,-0.06817371,4.206537,0.07758496,27.40026,2.12585
28,229,-0.003920153,0.002249935,3.098717,0.004519934,23.69003,0.10708
29,229,-0.08824286,-0.2089785,2.671468,0.2268453,21.2029,4.80978
30,229,-0.0039755,0.002190151,3.214129,0.004538872,21.28179,0.0966
31,229,-0.0630727,-0.1071768,4.532254,0.1243584,22.31205,2.77469
32,229,-0.003461748,0.003363296,3.266513,0.004826537,23.03667,0.11119
33,229,-0.06151926,-0.09119335,5.683338,0.1100038,23.23213,2.55562
34,229,-0.005082151,0.005449444,3.106998,0.00745149,25.99745,0.19372
