Node ID,Time,U,V,Water Depth,Velocity mag.,Water surface,Inflow
1,69,-0.03929606,-0.1050244,6.173162,0.1121352,25.02462,2.80614
2,69,-0.01599909,0.01884945,6.641959,0.02472393,22.98709,0.56833
3,69,-0.03929606,-0.1050244,7.522091,0.1121352,23.99406,2.69058
4,69,-0.01215288,0.02093323,5.884689,0.02420522,22.9035,0.55438
5,69,-0.03929606,-0.1050244,8.60116,0.1121352,25.4564,2.85456
6,69,-0.009213781,0.01278828,3.329634,0.01576179,22.83557,0.35993
7,69,-0.03929606,-0.1050244,8.180429,0.1121352,30.56183,3.42706
8,69,0.00121546,0.002595611,4.106272,0.002866102,26.17448,0.07502
9,69,-0.03929606,-0.1050244,7.706049,0.1121352,28.88881,3.23945
10,69,0.0002453405,0.00285732,4.803196,0.002867834,21.81442,0.06256
11,69,-0.03929607,-0.1050244,5.871619,0.1121352,23.31076,2.61396
12,69,-0.0005296735,0.002377019,4.821432,0.002435318,22.13083,0.0539
13,69,-0.03929606,-0.1050244,3.420211,0.1121352,21.51419,2.4125
14,69,-0.001701245,0.002302427,4.951834,0.002862761,25.4113,0.07275
15,69,-0.05983478,-0.101465,4.135423,0.1177936,27.55962,3.24635
16,69,-0.001925798,0.003130549,4.92487,0.003675464,26.7635,0.09837
17,69,-0.07263227,-0.1486807,5.866462,0.1654732,24.53873,4.0605
18,69,-0.002496595,0.004198113,3.773875,0.004884377,23.07717,0.11272
19,69,0.006912708,-0.1290947,8.265631,0.1292797,30.85004,3.98828
20,69,-0.00411536,0.004403973,2.651281,0.006027534,24.9629,0.15046
21,69,-0.05577295,-0.1661591,7.045714,0.1752697,24.45963,4.28703
22,69,-0.004360072,0.004070318,2.285763,0.005964706,19.40771,0.11576
23,69,-0.04362428,-0.07527336,7.916475,0.08700091,24.8352,2.16068
24,69,-0.004889637,0.003212735,2.470896,0.005850659,19.72113,0.11538
25,69,-0.0518024,-0.1501929,6.864515,0.1588754,27.46798,4.36399
26,69,-0.004598773,0.002689212,2.948441,0.005327342,21.13773,0.11261
27,69,-0.03875204,-0.06972566,4.306508,0.07977085,27.50023,2.19372
28,69,-0.003938071,0.002149428,3.198694,0.004486474,23.79001,0.10673
29,69,-0.09456673,-0.2239548,2.771457,0.243102,21.30289,5.17878
30,69,-0.004092861,0.002190687,3.313932,0.004642265,21.38159,0.09926
31,69,-0.06625592,-0.1125859,4.63227,0.1306347,22.41206,2.92779
32,69,-0.003550287,0.003258568,3.366562,0.004819004,23.13672,0.1115
33,69,-0.06470107,-0.0956668,5.783336,0.1154918,23.33213,2.69467
34,69,-0.004997376,0.005525956,3.206913,0.007450501,26.09736,0.19444
35,69,-0.07036012,-0.1069559,5.4733,0.1280239,28.49841,3.64848
36,69,-0.003086057,0.008358457,2.550112,0.00890997,19.87127,0.17705
37,69,-0.06587926,-0.1116977,3.595508,0.1296782,21.04508,2.72909
38,69,-0.06384341,0.07331695,9.526438,0.09721808,26.76243,2.60179
39,69,-0.08517694,-0.2261931,4.762913,0.2416991,21.73304,5.25286
40,69,-0.0625811,0.07858673,12.85692,0.1004603,33.10664,3.3259
41,69,-0.02699895,-0.0564357,7.835645,0.06256142,25.97881,1.62527
42,69,-0.07777428,0.06176586,15.64146,0.09931697,32.85882,3.26344
43,69,-0.06088281,-0.1070295,8.107075,0.1231342,31.22028,3.84429
44,69,-0.05168231,0.07079754,15.01806,0.08765473,35.03364,3.07086
45,69,-0.07973925,-0.1488589,6.807067,0.1688707,25.41215,4.29137
46,69,-0.02803696,0.01041864,1.458122,0.02991019,19.51322,0.58364
47,69,-0.03172741,-0.1130243,7.68012,0.117393,24.51402,2.87778
48,69,-0.04906168,0.05085432,8.795858,0.07066265,25.58993,1.80825
49,69,-0.02729875,-0.07925344,4.471145,0.0838232,21.29806,1.78527
50,69,-0.009459259,0.01983788,6.99616,0.02197769,24.6119,0.54091
