Node ID,Time,U,V,Water Depth,Velocity mag.,Water surface,Inflow
1,154,-0.05546159,-0.1482291,6.052468,0.1582652,24.90392,3.94142
2,154,-0.02305073,0.0248256,6.522,0.03387693,22.86713,0.77467
3,154,-0.0554616,-0.1482292,7.401582,0.1582652,23.87355,3.77835
4,154,-0.0166165,0.02862177,5.764739,0.03309552,22.78355,0.75403
5,154,-0.0554616,-0.1482292,8.480581,0.1582652,25.33582,4.00978
6,154,-0.01066698,0.01480526,3.224925,0.01824774,22.73086,0.41479
7,154,-0.05546159,-0.1482291,8.060061,0.1582652,30.44146,4.81782
8,154,0.001389518,0.002967312,3.986275,0.003276538,26.05448,0.08537
9,154,-0.0554616,-0.1482292,7.585504,0.1582652,28.76827,4.55302
10,154,0.0003112197,0.003412101,4.683201,0.003426265,21.69442,0.07433
11,154,-0.05546159,-0.1482292,5.751073,0.1582652,23.19022,3.6702
12,154,-0.0004807549,0.002739158,4.701435,0.002781027,22.01083,0.06121
13,154,-0.05546159,-0.1482291,3.299742,0.1582652,21.39372,3.38588
14,154,-0.002051484,0.002673872,4.831839,0.00337019,25.2913,0.08524
15,154,-0.08451381,-0.1433145,4.015452,0.166378,27.43965,4.56535
16,154,-0.002249067,0.003712493,4.804874,0.004340611,26.6435,0.11565
17,154,-0.1031987,-0.2112512,5.746121,0.2351107,24.41839,5.74102
18,154,-0.002916309,0.004994359,3.653879,0.005783467,22.95717,0.13277
19,154,0.03063312,-0.1899243,8.145409,0.1923789,30.72982,5.91177
20,154,-0.005346171,0.005184457,2.531286,0.007447156,24.84291,0.18501
21,154,-0.07582068,-0.2541144,6.925613,0.2651846,24.33953,6.45447
22,154,-0.00539297,0.004531959,2.165768,0.007044343,19.28771,0.13587
23,154,-0.08379128,-0.07147348,7.796316,0.1101337,24.71504,2.72196
24,154,-0.006168375,0.003337513,2.350908,0.007013404,19.60114,0.13747
25,154,-0.07727357,-0.2569976,6.744346,0.2683635,27.34781,7.33915
26,154,-0.005521335,0.002556218,2.828379,0.006084356,21.01766,0.12788
27,154,-0.04551018,-0.04763627,4.186264,0.06588164,27.37998,1.80384
28,154,-0.004848487,0.001811017,3.078722,0.005175674,23.67004,0.12251
29,154,-0.1764901,-0.4179674,2.651375,0.453702,21.1828,9.61068
30,154,-0.004395834,0.001537434,3.194172,0.004656937,21.26183,0.09901
31,154,-0.09525145,-0.1618567,4.512273,0.1878043,22.29206,4.18654
32,154,-0.003603863,0.003141295,3.246508,0.004780749,23.01667,0.11004
33,154,-0.08974122,-0.1288781,5.663364,0.1570447,23.21216,3.64535
34,154,-0.005272468,0.004768489,3.087018,0.007108966,25.97746,0.18467
35,154,-0.09778917,-0.1516546,5.353312,0.180449,28.37842,5.12086
36,154,-0.003220505,0.008722603,2.429344,0.009298143,19.7505,0.18364
37,154,-0.08920805,0.1024454,9.40645,0.1358423,26.85602,3.64818
38,154,-0.09140715,-0.15498,3.475535,0.1799279,20.71153,3.72658
39,154,-0.08681013,0.1093672,12.73683,0.1396323,29.70695,4.14805
40,154,-0.1267512,-0.3365963,4.642985,0.3596705,24.89271,8.95317
41,154,-0.1084922,0.08539043,15.5218,0.1380655,33.66496,4.64797
42,154,-0.02033157,-0.03749752,7.715689,0.04265486,24.93304,1.06352
43,154,-0.07151557,0.09967797,14.89591,0.1226791,38.00912,4.66293
44,154,-0.09771528,-0.1345986,7.987118,0.1663281,28.0027,4.65764
45,154,-0.02859377,0.01062556,1.39792,0.03050419,20.003,0.61018
46,154,-0.1256515,-0.2235118,6.687109,0.2564095,24.74221,6.34414
47,154,-0.06817207,0.06942759,8.700958,0.09730171,25.53486,2.48459
48,154,-0.0340162,-0.1961998,7.560192,0.1991268,24.35426,4.84959
49,154,-0.01170238,0.02665602,6.876508,0.02911166,23.70343,0.69005
50,154,-0.01918371,-0.05902815,4.35119,0.0620672,21.96693,1.36343
51,154,-0.01539575,0.03496054,7.055156,0.03820037,26.81171,1.02422
52,154,-0.08720422,-0.1705293,6.726089,0.1915328,23.63234,4.52637
53,154,-0.01338731,0.02537259,5.312895,0.02868778,28.35214,0.81336
54,154,-0.01559465,0.02268234,2.835392,0.02752602,26.18644,0.72081
55,154,-0.1131532,-0.2679715,2.696414,0.290882,20.21451,5.88004
56,154,-0.009105554,0.02378825,6.29254,0.0254714,23.60489,0.60125
57,154,-0.06305478,-0.1147646,5.127874,0.1309459,22.32762,2.92371
58,154,-0.01318905,0.02492175,5.19675,0.02819654,25.26522,0.71239
59,154,-0.1062417,-0.1518579,5.926451,0.1853325,23.57809,4.36979
60,154,0.0002638281,0.001939074,4.060373,0.00195694,21.28222,0.04165
61,154,-0.09603891,-0.1361524,7.225873,0.1666162,30.12369,5.01909
62,154,-0.0002994953,0.002561913,4.246398,0.00257936,24.57989,0.0634
63,154,-0.0982977,-0.1456859,7.313306,0.1757464,26.59385,4.67377
64,154,-0.001602173,0.002922416,4.245203,0.003332787,22.36315,0.07453
65,154,-0.1019059,-0.144225,5.024973,0.1765946,21.82752,3.85462
66,154,-0.001847076,0.001519858,4.231048,0.002391999,20.61046,0.0493
67,154,-0.08756201,-0.137897,7.329523,0.1633483,23.83934,3.89412
68,154,-0.003016944,0.003127683,4.666349,0.004345613,21.38952,0.09295
69,154,-0.09608655,-0.1653457,3.161846,0.1912376,20.00762,3.82621
70,154,-0.003081094,0.003675686,4.69059,0.004796228,21.70223,0.10409
71,154,-0.08136047,-0.2384339,4.375189,0.251933,22.03656,5.55174
72,154,-0.003957545,0.003758481,3.433838,0.00545787,22.84511,0.12469
73,154,-0.02187295,-0.1838202,7.62035,0.185117,24.85473,4.60103
74,154,-0.005085259,0.003587881,2.48794,0.006223564,19.43529,0.12096
75,154,-0.07166684,-0.1099264,7.639205,0.1312248,30.61725,4.01774
76,154,-0.004783854,0.003121846,3.005599,0.005712371,27.09588,0.15478
77,154,-0.07217419,-0.1745433,8.02922,0.1888769,25.52866,4.82177
78,154,-0.004936335,0.002293395,2.683284,0.005443075,20.13352,0.10959
79,154,-0.1057428,-0.1875893,6.623023,0.2153399,24.02428,5.17339
80,154,-0.00479786,0.001869491,2.757292,0.005149219,22.66909,0.11673
81,154,-0.0194974,-0.1481144,4.47127,0.1493922,21.97777,3.28331
82,154,-0.00499037,0.001295668,3.195402,0.005155826,20.4298,0.10533
83,154,-0.07994628,-0.1296365,6.815056,0.1523057,29.35037,4.47023
84,154,-0.005558427,0.001415163,3.13018,0.005735748,23.02723,0.13208
85,154,-0.0253234,-0.1765745,7.583919,0.1783812,26.65848,4.75537
86,154,-0.004346902,0.002142538,3.422274,0.004846239,21.07663,0.10214
87,154,-0.07045939,-0.1668633,2.909694,0.1811295,19.70558,3.56926
88,154,-0.006872483,0.00197043,3.210984,0.007149379,19.60107,0.14014
89,154,-0.09074323,-0.1779451,5.251523,0.1997468,21.8497,4.36441
90,154,-0.00695799,0.003941528,3.026666,0.007996828,19.66829,0.15728
91,154,-0.09285916,-0.1467683,6.053728,0.1736771,22.76379,3.95355
92,154,-0.009597942,0.005758372,2.855512,0.01119283,19.69189,0.22041
93,154,-0.07983284,-0.1475427,7.155737,0.1677562,24.17884,4.05615
94,154,-0.008418444,0.009792883,2.770944,0.01291397,20.05069,0.25893
95,154,-0.11055,-0.1655926,8.030769,0.1991035,26.01445,5.17957
96,154,-0.115209,0.1143068,7.987161,0.1622935,27.36304,4.44084
97,154,-0.1094677,-0.1414599,8.037066,0.1788689,24.97931,4.46802
98,154,-0.1154033,0.1213367,12.39941,0.167453,29.53608,4.9459
99,154,-0.07330039,-0.1434138,8.068901,0.1610604,26.46112,4.26184
100,154,-0.09825983,0.0749675,16.46144,0.1235926,39.54278,4.88719
101,154,-0.1012726,-0.160099,7.275308,0.1894408,31.21137,5.91271
102,154,-0.09378669,0.08350348,15.91941,0.1255738,33.37047,4.19046
103,154,-0.08166212,-0.1387964,4.970452,0.1610377,22.39996,3.60724
104,154,-0.03714273,0.0226748,3.992297,0.043517,21.54615,0.93762
105,154,-0.09273279,-0.1358622,8.011976,0.1644929,27.63019,4.54497
106,154,-0.0622745,0.04747279,9.920372,0.07830568,27.37778,2.14384
107,154,-0.08967554,-0.1614449,3.193819,0.1846786,20.33996,3.75635
108,154,-0.02604798,0.03665651,6.876347,0.04496885,29.29335,1.31729
109,154,-0.0802243,-0.2369678,3.997428,0.2501793,23.97801,5.9988
110,154,-0.01851083,0.01804625,7.033484,0.02585185,25.74222,0.66548
111,154,-0.08306774,-0.1359394,7.602179,0.1593103,24.86187,3.96075
112,154,-0.02096199,0.02260209,5.540237,0.03082628,22.23688,0.68548
