Node ID,Time,U,V,Water Depth,Velocity mag.,Water surface,Inflow
1,323,-0.05665204,-0.1514108,6.152404,0.1616622,25.00386,4.04218
2,323,-0.01258911,0.0145967,6.621971,0.01927561,22.9671,0.44271
3,323,-0.05665204,-0.1514108,7.501537,0.1616622,23.97351,3.87561
4,323,-0.009508431,0.01637819,5.864702,0.0189382,22.88351,0.43337
5,323,-0.05665204,-0.1514108,8.580527,0.1616622,25.43576,4.112
6,323,-0.007475893,0.01037618,3.312187,0.01278883,22.81812,0.29182
7,323,-0.05665204,-0.1514108,8.160026,0.1616622,30.54142,4.93739
8,323,0.0009819397,0.00209693,4.086273,0.002315452,26.15448,0.06056
9,323,-0.05665204,-0.1514108,7.685456,0.1616622,28.86822,4.6669
10,323,0.0002063687,0.002362381,4.783199,0.002371377,21.79442,0.05168
11,323,-0.05665204,-0.1514108,5.851023,0.1616622,23.29016,3.76514
12,323,-0.0003112076,0.002007492,4.801433,0.002031471,22.11083,0.04492
13,323,-0.05665204,-0.1514108,3.399704,0.1616622,21.49368,3.47472
14,323,-0.00153903,0.001854473,4.931838,0.002409914,25.3913,0.06119
15,323,-0.08668964,-0.1470042,4.115446,0.1706614,27.53964,4.69995
16,323,-0.001612625,0.002468189,4.904873,0.002948307,26.7435,0.07885
17,323,-0.1048125,-0.2145547,5.84609,0.2387874,24.51836,5.85467
18,323,-0.002258345,0.003531105,3.753877,0.004191518,23.05717,0.09664
19,323,0.03197527,-0.1941325,8.24539,0.1967482,30.8298,6.06571
20,323,-0.004244484,0.00318885,2.631284,0.005308899,24.94291,0.13242
21,323,-0.07661858,-0.2600494,7.025602,0.2711016,24.43952,6.62559
22,323,-0.004349498,0.00265811,2.265766,0.005097419,19.38771,0.09883
23,323,-0.08669969,-0.07144174,7.8963,0.1123421,24.81503,2.78777
24,323,-0.004891448,0.00125714,2.4509,0.005050412,19.70113,0.0995
25,323,-0.07883088,-0.2643199,6.844328,0.2758248,27.44779,7.57078
26,323,-0.004234698,0.0005262656,2.928434,0.004267273,21.11772,0.09012
27,323,-0.04572274,-0.04691082,4.286243,0.0655072,27.47996,1.80014
28,323,-0.003392925,-0.0002488803,3.1787,0.003402041,23.77002,0.08087
29,323,-0.1793202,-0.4246695,2.751366,0.4609772,21.28279,9.81088
30,323,-0.002470594,-0.0004516548,3.293975,0.002511538,21.36163,0.05365
31,323,-0.09679977,-0.1644877,4.612288,0.190857,22.39208,4.27369
32,323,-0.001620277,0.0006123516,3.346555,0.001732129,23.11672,0.04004
33,323,-0.0912885,-0.1306434,5.763361,0.1593778,23.31215,3.71544
34,323,-0.002099103,0.001026258,3.186933,0.002336544,26.07738,0.06093
35,323,-0.09888503,-0.1540674,5.453323,0.1830711,28.47843,5.21358
36,323,-0.001176413,0.003186266,2.529986,0.003396504,19.85114,0.06742
37,323,-0.09244147,-0.1567337,3.575529,0.1819639,21.0251,3.82581
38,323,-0.08531536,0.09797505,9.506441,0.1299147,26.74243,3.47423
39,323,-0.1284718,-0.3411656,4.742988,0.3645532,21.71311,7.91558
40,323,-0.08270025,0.1058383,12.8369,0.1343171,33.08663,4.4441
41,323,-0.02020353,-0.03632295,7.815689,0.04156368,25.95885,1.07895
42,323,-0.1038945,0.08503078,15.62152,0.1342546,32.83887,4.40877
43,323,-0.1004087,-0.1357655,8.087117,0.1688614,31.20033,5.26853
44,323,-0.07037442,0.09904923,14.9977,0.1215044,35.01328,4.25427
45,323,-0.1286214,-0.228628,6.787112,0.2623246,25.3922,6.661
46,323,-0.03714705,0.01380399,1.447954,0.03962895,19.50305,0.77289
47,323,-0.03470918,-0.2022282,7.660195,0.2051852,24.4941,5.02583
48,323,-0.06804247,0.07116427,8.78005,0.09845877,25.57412,2.518
49,323,-0.02014284,-0.0577718,4.45119,0.06118264,21.27811,1.30185
50,323,-0.007213196,0.01574663,6.976222,0.01732012,24.59196,0.42594
51,323,-0.08913326,-0.173152,6.826089,0.1947469,26.58265,5.17689
52,323,-0.008981623,0.01991653,7.156373,0.02184806,24.06262,0.52572
53,323,-0.1147985,-0.2718679,2.796415,0.2951116,25.83566,7.6244
54,323,-0.008544385,0.0154464,5.399394,0.01765214,28.75044,0.50751
55,323,-0.06442352,-0.1172559,5.227902,0.1337884,22.746,3.04315
56,323,-0.01038769,0.01510884,2.896634,0.01833524,20.20898,0.37054
57,323,-0.1094668,-0.1562542,6.026407,0.1907836,23.22615,4.43117
58,323,-0.005972924,0.01408071,6.392632,0.01529517,26.4611,0.40473
59,323,-0.09822938,-0.1380321,7.32592,0.1694162,24.97756,4.2316
60,323,-0.008076739,0.01526163,5.29671,0.01726705,22.51856,0.38883
61,323,-0.100905,-0.1482124,7.413274,0.1793007,30.31109,5.4348
62,323,0.0001756645,0.001291093,4.160372,0.001302989,24.49386,0.03192
63,323,-0.1036006,-0.1462047,5.124975,0.1791896,24.40552,4.37321
64,323,-0.0002106656,0.001802055,4.346396,0.001814327,22.46434,0.04076
65,323,-0.08893929,-0.1398611,7.429504,0.1657448,24.23205,4.01634
66,323,-0.001050753,0.001916608,4.345203,0.002185742,20.72461,0.0453
67,323,-0.09779144,-0.1682795,3.261845,0.1946308,19.77167,3.84818
68,323,-0.001293365,0.001064239,4.331047,0.001674933,21.05422,0.03526
69,323,-0.08257904,-0.242005,4.475187,0.2557063,21.32096,5.4519
70,323,-0.002044123,0.002206011,4.766348,0.003007478,21.77799,0.0655
71,323,-0.02279313,-0.1896861,7.720348,0.1910506,25.38172,4.84919
72,323,-0.002178654,0.002439657,4.790592,0.00327085,24.20186,0.07916
73,323,-0.0720911,-0.1116447,7.739205,0.1328972,24.97359,3.31892
74,323,-0.002885626,0.00233146,3.533839,0.00370979,20.48119,0.07598
75,323,-0.07298026,-0.1779089,8.12922,0.1922958,31.10727,5.9818
76,323,-0.003906781,0.001967757,2.58794,0.004374357,26.67822,0.1167
77,323,-0.1073167,-0.190992,6.72302,0.2190772,24.22245,5.30659
78,323,-0.00332308,0.001569256,3.105605,0.003674972,20.55584,0.07554
79,323,-0.01898483,-0.1524583,4.571269,0.1536358,21.97252,3.37576
80,323,-0.003740651,0.0004484046,2.783267,0.003767431,22.69507,0.0855
81,323,-0.08169746,-0.1317885,6.915055,0.155057,24.42156,3.78673
82,323,-0.00370383,-6.524846E-06,2.857291,0.003703836,20.09169,0.07442
83,323,-0.02507507,-0.1813041,7.683915,0.1830299,30.21923,5.53102
84,323,-0.003068121,-4.613388E-05,3.295399,0.003068468,23.19245,0.07117
85,323,-0.07206016,-0.1706543,3.009694,0.1852446,22.08425,4.09099
86,323,-0.003464357,-0.000171738,3.230251,0.003468611,20.88461,0.07244
87,323,-0.09326945,-0.182899,5.351538,0.2053076,22.14742,4.54703
88,323,-0.002317832,0.0002982393,3.522288,0.00233694,19.91237,0.04653
89,323,-0.09485693,-0.1503938,6.15369,0.1778093,22.75187,4.04549
90,323,-0.003293776,-1.754079E-06,3.310918,0.003293777,19.95254,0.06572
91,323,-0.08213879,-0.1495904,7.255861,0.1706577,23.96592,4.08997
92,323,-0.002670539,0.0009559073,3.126483,0.002836465,19.96286,0.05662
93,323,-0.1137758,-0.1691041,8.130571,0.2038164,25.15368,5.12673
94,323,-0.00350343,0.001930024,2.955584,0.003999877,20.23533,0.08094
95,323,-0.1124077,-0.1435387,8.137115,0.1823153,26.1208,4.76222
96,323,-0.002988884,0.003476865,2.870799,0.004584977,22.24668,0.102
97,323,-0.07384881,-0.1452758,8.168979,0.1629684,25.11122,4.09233
98,323,-0.1095522,0.1086943,8.08705,0.1543248,25.22372,3.89264
99,323,-0.1030108,-0.1625243,7.375305,0.1924198,25.76752,4.95818
100,323,-0.1074157,0.1160964,12.49949,0.1581661,35.58082,5.62768
101,323,-0.08203048,-0.1400024,5.07045,0.1622642,29.00651,4.70672
102,323,-0.09430217,0.07698772,16.56131,0.1217375,34.01236,4.14058
103,323,-0.09458493,-0.1381029,8.111997,0.1673879,25.54151,4.27534
104,323,-0.0940774,0.0843419,16.02225,0.1263492,33.5761,4.24231
105,323,-0.09113187,-0.1640668,3.293819,0.1876777,22.91203,4.30008
106,323,-0.0387051,0.02362859,4.028849,0.04534749,21.48625,0.97435
107,323,-0.08190305,-0.2419265,4.097427,0.2554145,21.24357,5.42591
108,323,-0.06569333,0.04907501,9.999699,0.08199982,32.4167,2.65816
109,323,-0.08385199,-0.1389474,7.702178,0.1622884,27.68275,4.49259
110,323,-0.01403288,0.0206464,6.976326,0.02496388,25.68506,0.6412
111,323,-0.09131551,-0.1725638,8.024688,0.1952352,25.28438,4.9364
112,323,-0.01054285,0.01162177,7.133583,0.01569131,23.83023,0.37393
113,323,-0.08001097,-0.2013655,6.444133,0.2166791,22.8323,4.94728
114,323,-0.01190718,0.01399837,5.641757,0.01837757,22.07458,0.40568
115,323,-0.0533384,-0.116199,4.796178,0.1278562,21.69682,2.77407
116,323,-0.009362773,0.0158997,3.243133,0.01845161,20.35253,0.37554
117,323,-0.07278539,-0.159387,7.173825,0.1752197,24.64935,4.31905
118,323,-0.00883504,0.01473657,6.262195,0.01718209,24.39059,0.41908
119,323,-0.07746183,-0.1603795,7.764363,0.1781065,27.11795,4.82988
120,323,-0.008178821,0.01844585,5.558236,0.02017778,22.84574,0.46098
121,323,-0.07193023,-0.1703229,3.193394,0.1848887,20.28349,3.75019
122,323,-0.0026945,0.002390268,4.033961,0.003601904,21.29435,0.0767
123,323,-0.08969912,-0.1768776,5.191399,0.198322,23.10401,4.58203
124,323,-0.001924119,0.002405608,4.856434,0.003080452,24.13876,0.07436
125,323,-0.07735725,-0.1457266,5.968228,0.164986,25.83455,4.26234
126,323,-0.002430351,0.002587229,4.729828,0.003549698,24.37704,0.08653
127,323,-0.08988544,-0.1688385,7.141298,0.1912743,26.18949,5.00938
128,323,-0.003006649,0.002480228,3.731435,0.003897623,24.69626,0.09626
129,323,-0.1066853,-0.1549559,8.141102,0.1881305,30.65108,5.7664
130,323,-0.002861938,0.001149879,4.54401,0.003084301,28.3285,0.08737
131,323,-0.08906481,-0.1488912,8.62906,0.1734967,26.09816,4.52795
132,323,-0.002757592,0.0009473033,4.115813,0.002915767,21.63727,0.06309
133,323,-0.1001053,-0.1506939,8.555309,0.1809136,26.04977,4.71276
134,323,-0.003589827,0.0003439191,3.183533,0.003606263,22.77967,0.08215
135,323,-0.139961,-0.149974,8.425832,0.2051373,26.31777,5.39875
136,323,-0.002616741,0.0001296254,4.208372,0.00261995,21.35312,0.05594
137,323,-0.1186382,-0.1415671,8.348101,0.1847059,28.11606,5.1932
138,323,-0.002894341,0.0005612874,4.033651,0.002948263,22.07079,0.06507
139,323,-0.0790498,-0.1294957,7.988514,0.1517169,25.56202,3.87819
140,323,-0.001996034,0.0002759291,4.423081,0.002015015,20.8876,0.04209
141,323,-0.08478114,-0.1582308,7.332071,0.1795128,23.64533,4.24464
142,323,-0.002077131,-0.0002552841,3.71411,0.002092759,20.12401,0.04211
143,323,-0.08285645,-0.1478524,5.152762,0.169486,21.98486,3.72613
144,323,-0.00256186,0.000171079,3.25213,0.002567566,27.08531,0.06954
145,323,-0.09435979,-0.1506971,8.090714,0.1778015,34.39635,6.11572
146,323,-0.003281758,0.0001184822,2.96878,0.003283896,28.35919,0.09313
147,323,-0.083279,-0.1295199,8.110261,0.1539831,32.18233,4.95553
148,323,-0.0046459,0.001482979,2.623379,0.004876845,25.75299,0.12559
149,323,-0.07562552,-0.1403473,3.388965,0.1594258,20.73219,3.30525
150,323,-0.005075334,0.003261971,2.838205,0.006033198,20.22089,0.122
